#"Step","Potential Energy (kJ/mole)","Temperature (K)"
222,-522.5552388819376,24.339402337112706
223,-522.3658771727428,24.40592366113193
224,-522.055706455685,24.480490312679624
225,-521.6263431036439,24.451708539031408
226,-521.0659932335963,24.075180983339653
227,-520.4327745356119,24.1013112314412
228,-519.7333030961979,23.938750521786226
229,-518.9751841903583,23.8516897207782
230,-518.2077422509985,23.07291312102699
231,-517.4396868267561,22.506258301124273
232,-516.7103489956856,22.39321621393637
233,-516.0500307726979,22.00394497944143
234,-515.4380530281305,21.80801267902756
235,-514.8916604501957,21.626539454950223
236,-514.4375800400584,21.448232799681026
237,-514.0153930189633,21.602264423480115
238,-513.6827010524257,21.584218431752134
239,-513.4422320082442,21.361448579663463
240,-513.284437424891,21.345938221639152
241,-513.1646114220453,21.029194034328977
242,-513.1027574071431,20.954582507253463
243,-513.0513552944343,20.80766556793769
244,-513.0599737797972,20.52539782512758
245,-513.1300074882253,20.570523677408104
246,-513.2253384460319,20.814940934617162
247,-513.2893290613807,21.150280695838372
248,-513.3406455413465,21.02437827087162
249,-513.3993136396795,21.329722324595078
250,-513.4333641350843,21.179051964912187
251,-513.4564472558436,21.23848643342394
252,-513.4623632045401,21.548538189440393
253,-513.5056257804523,22.016734340555445
254,-513.4844785622114,22.068496096296762
255,-513.4376117294796,22.507937056660193
256,-513.3567518596698,22.30634269997245
257,-513.2541133195838,22.549677808261098
258,-513.0713594487627,22.697217560816185
259,-512.8404803588506,22.60890809633379
260,-512.5817956592788,22.51459377991985
261,-512.2827589403158,22.74269145760354
262,-511.997028658433,22.622841552786856
263,-511.71426054160975,22.63727549314386
264,-511.45186702521426,22.633076367965042
265,-511.2245250400274,22.57186367405603
266,-511.0119441397735,22.667028516783567
267,-510.83073951054877,22.948667348258052
268,-510.7316875742382,22.871775202438478
269,-510.68714631373206,23.14295242429498
270,-510.67995493689534,23.627787297783023
271,-510.70894513153615,23.986556011014407
272,-510.80468255711406,24.184160454268515
273,-510.9715384609464,24.397275742852106
274,-511.1713722551562,24.654686027013422
275,-511.3922477980938,24.731034837985078
276,-511.6485137973439,25.598602100276434
277,-511.94335462362193,26.23139525182638
278,-512.2155621382037,26.6601703561783
279,-512.4651233511294,26.6972503110321
280,-512.6873118907291,27.404369157232363
281,-512.8149390388799,27.308961314109464
282,-512.9286695072251,28.168834021642333
283,-512.9657854858981,28.329762824325325
284,-512.9330859722721,28.555239501068254
285,-512.80185206972,28.61644774793298
286,-512.6135924214893,28.583989663843724
287,-512.40740393869,28.427224928964765
288,-512.1638886679613,28.722205490871136
289,-511.8730958054656,28.905865094450682
290,-511.5540021006569,29.005284927985713
291,-511.2401955619123,29.04305567663656
292,-510.95803730674766,29.099878995624938
293,-510.69413853292394,29.161009200765882
294,-510.4905453815619,28.999673190290324
295,-510.3406474465247,28.936590475932224
296,-510.2499052911629,28.69976886019046
297,-510.23603444169555,28.905324543290497
298,-510.2989013896634,29.314798160860338
299,-510.42407944187136,29.93052930578525
300,-510.6318803575515,30.634311416219795
301,-510.90098873383687,31.108991561731802
302,-511.2595990515254,31.64593620570903
303,-511.6437549960357,32.33407437865976
304,-512.0737808500241,32.99088912090792
305,-512.5581357715627,33.52051143311816
306,-513.0347863623806,34.102266495765505
307,-513.4914841109367,34.60220172963033
308,-513.9324807534255,35.247426596970456
309,-514.3213932187851,35.45996817436825
310,-514.632567883891,35.774319388108914
311,-514.8730588385787,35.84124376168822
312,-515.0671481538569,36.019860339436455
313,-515.1444431486989,36.29231210368913
314,-515.1113298655972,36.437028459605855
315,-515.0308746919936,36.56177620189993
316,-514.8725046456387,36.5303850858286
317,-514.5992583332182,36.56529802167215
318,-514.2472677193701,36.75331942385647
319,-513.8290451671497,36.717109538355984
320,-513.3750225006168,36.209615952598575
321,-512.9087834334343,35.71176962839198
322,-512.459579995116,35.66825117268133
323,-512.0523094946091,35.162289022093724
324,-511.62659795238983,35.00760155039161
325,-511.14405253397945,34.86588618098792
326,-510.67996473018076,34.6944327540002
327,-510.22772936848236,34.405439096239846
328,-509.82655505080953,34.1345641958844
329,-509.4816592770395,33.46260245509625
330,-509.2316129914687,33.57312911116032
331,-509.01200617401736,33.29753745893518
332,-508.82520235819953,33.63677881390154
333,-508.67964361822027,33.86511703299326
334,-508.5955253218069,34.097800298223646
335,-508.567376373951,34.09400796699904
336,-508.53033460775004,34.506086339786954
337,-508.5326657623112,34.59347639270539
338,-508.5422958889033,34.6831100233213
339,-508.6081502665849,34.736268988844785
340,-508.6930173870421,34.38471196926795
341,-508.8148625265705,34.546041994507206
342,-508.9707772689568,34.26222928500391
343,-509.11284092749844,34.18718908044747
344,-509.24143694273863,34.40951692716278
345,-509.3810693434963,35.071091474327915
